Sample_ID,Date,Plot_ID,PLHE_red1,PLHE_red2,PLHE_red3,PLHE_golden1,PLHE_golden2 ,PLHE_golden3,Flower_Num,FC_perc,GC_perc,Comments 
MCSP_113,8/5/2021,T7_R5_IR_F_2c,74.9,74.1,76.3,63.8,59.6,53.8,147,3.5,0.5,
MCSP_114,8/5/2021,T7_R5_IR_C_2d,89.1,64.8,47.5,65.1,61.5,69.5,249,10,0,
MCSP_115,8/5/2021,T7_R5_VR_C_7a,42.5,30.5,44.5,72.1,62.1,77.5,18,1,10,
MCSP_116,8/5/2021,T7_R5_VR_N_7b,65.5,49.5,42.5,58.5,46.1,43.5,60,2,3,
MCSP_117,8/5/2021,T7_R5_VR_F_7c,38.6,26.5,47.5,55.3,52.5,50.3,9,0.3,2,
MCSP_118,8/5/2021,T7_R1_IR_N_2b,62.5,60.5,63.5,51.5,48.3,47.1,44,1.5,1.5,
MCSP_119,8/5/2021,T7_R1_IR_F_2c,64.9,49.9,58.5,51.6,61.9,47.9,62,2,1,
MCSP_120,8/5/2021,T7_R1_IR_C_2d,58.8,59.9,63.6,53.5,47.9,58.9,38,2,0,
MCSP_121,8/5/2021,T7_R1_D1_C_4b,75.5,63.3,57.5,102,84.9,72.1,27,2,3.5,
MCSP_122,8/5/2021,T7_R1_D1_N_4c,43.9,63.5,68.9,69.1,67.2,89.5,35,1.5,1,
MCSP_123,8/5/2021,T7_R1_D1_F_4d,65.5,76.1,65.9,98.5,99.9,90.3,20,1,0.5,
MCSP_124,8/5/2021,T7_R1_VR_F_5b,54.6,67.5,68.1,60.1,64.5,98.6,188,2,2.5,
MCSP_125,8/5/2021,T7_R1_VR_C_5c,35.1,60.5,47.4,50.9,57.2,84.5,42,2,1.5,
MCSP_126,8/5/2021,T7_R1_VR_N_5d,55.9,61.5,69.1,70.4,86.4,72.9,20,0.5,1.5,
MCSP_127,8/5/2021,T7_R3_VR_C_1a,71.1,60.1,64.9,71.1,82.5,51.1,15,0.5,2,Trampling perc:        5%
MCSP_128,8/5/2021,T7_R3_VR_F_1b,66.1,61.1,65.5,53.5,62.9,47.9,11,0.3,3,4%
MCSP_129,8/5/2021,T7_R3_VR_N_1d,55.9,72.9,59.9,70.4,54.5,75.5,14,0.5,3,0%
MCSP_130,8/5/2021,T7_R3_IR_C_6a,43.2,57.5,47.3,66.9,62.1,74.5,11,2,2,10%
MCSP_131,8/5/2021,T7_R3_IR_N_6b,70.5,61.1,76.6,59.9,58.8,8.8,27,3,2.5,3%
MCSP_132,8/5/2021,T7_R3_IR_F_6c,51.5,34,53.6,68.5,65.5,71.4,20,0.5,0.5,0%
MCSP_133,8/5/2021,T7_R3_D1_F_7b,36.9,35.4,64.5,65.4,90.5,93.1,9,0.3,1,0%
MCSP_134,8/5/2021,T7_R3_D1_C_7c,61.5,36.5,47.5,85,64.3,73.6,27,2,4,2%
MCSP_135,8/5/2021,T7_R3_D1_N_7d,60.5,56.1,36.5,62.4,79.9,64.3,30,1.5,1.5,10%
MCSP_136,8/5/2021,T7_R4_IR_C_3a,63.4,87.5,55.4,67.1,49.5,65.5,11,2,0.5,50%
MCSP_137,8/5/2021,T7_R4_IR_F_3b,52.8,53.4,51.3,64.5,89.5,67.9,81,4,0.5,5%
MCSP_138,8/5/2021,T7_R4_IR_N_3c,66.5,59.9,63.4,75.6,68.4,78.5,6,0.3,1,40%
MCSP_139,8/5/2021,T7_R4_D1_C_5a,51.8,72.2,59.6,68.3,53.2,55.4,32,1.5,3,
MCSP_140,8/5/2021,T7_R4_D1_F_5c,64.1,73.5,73.9,74.6,73.4,70.1,53,1.5,0,20%
MCSP_141,8/5/2021,T7_R4_D1_N_5d,62.1,52.3,53.9,57.2,49.4,63.2,115,3.5,1,2%
MCSP_142,8/5/2021,T7_R4_VR_N_7b,67.3,55.5,49.2,64.1,66.5,74,21,2,3.5,0%
MCSP_143,8/5/2021,T7_R4_VR_C_7c,48.6,32.9,57.1,74.3,57.5,65.9,57,1.5,3,20%
MCSP_144,8/5/2021,T7_R4_VR_F_7d,46.2,55.6,51.6,62.4,53.1,57,76,2,4,0
MCSP_145,8/5/2021,T7_R2_D1_F_1a,70.4,67.1,68.9,51,74.5,82.5,19,1,1.5,
MCSP_146,8/5/2021,T7_R2_D1_N_1b,63.2,82.1,84.4,66,53.3,76.5,41,1.5,1.5,
MCSP_147,8/5/2021,T7_R2_D1_C_1c,80.5,67.6,89.3,90.4,65.5,49.3,31,1.3,5,
MCSP_148,8/5/2021,T7_R2_VR_F_3a,70.4,72.9,71.6,75.2,66.5,92.7,73,2,0.5,
MCSP_149,8/5/2021,T7_R2_VR_N_3b,78.9,66.5,68.1,81.5,86.6,77.9,32,1.3,2,
MCSP_150,8/5/2021,T7_R2_VR_C_3c,76.3,51.6,89.7,66.8,70.2,95,15,1,1,
MCSP_151,8/5/2021,T7_R2_IR_F_4a,68.9,77,75.2,83.3,53.1,72.1,60,1,0,
MCSP_152,8/5/2021,T7_R2_IR_C_4c,98.5,56.9,72.4,97.5,88.9,107.5,38,1.3,0,
MCSP_153,8/5/2021,T7_R2_IR_N_4d,58.4,48.3,79,99.2,89,114,11,0.5,1,
MCSP_154,8/5/2021,T7_R6_IR_F_4b,48.2,51.3,67.5,NA,NA,NA,128,5,0,
MCSP_155,8/5/2021,T7_R6_IR_N_4c,74.2,73.4,39.5,68.9,83.7,61.1,53,2,0.5,
MCSP_156,8/5/2021,T7_R6_IR_C_4d,52.4,76.4,69.5,82.9,82.5,62.5,75,3,0.5,
MCSP_157,8/5/2021,T7_R6_VR_N_5b,69.5,66.1,64.5,63.3,96.9,91,35,1.5,1,
MCSP_158,8/5/2021,T7_R6_VR_F_5c,67.3,54.1,84.9,48.5,61.9,58.5,39,1,0,
MCSP_159,8/5/2021,T7_R6_VR_C_5d,49.5,58.1,61,72.6,76.2,68.5,15,0.5,2,
MCSP_160,8/5/2021,T7_R6_D1_N_6a,55,65.9,53.5,79.1,56.5,91.5,2,1,1.5,
MCSP_161,8/5/2021,T7_R6_D1_C_6c,69.4,56.5,51.5,87.5,106,80.5,8,0.5,0,
MCSP_162,8/5/2021,T7_R6_D1_F_6d,56.3,56.1,64.3,82,102,90.9,21,0.5,2.5,Missing %GC: Mark has that data
MCSP_163,8/20/2021,T7_R5_D1_F_1a,64.1,66.7,62.6,69.3,64.9,78.9,120,3,,GR flowering:           yes 
MCSP_164,8/20/2021,T7_R5_D1_C_1c,65.6,62.9,54.5,91.2,86.2,70.5,33,1.5,,no
MCSP_165,8/20/2021,T7_R5_D1_N_1d,55.1,65.5,63.4,92.4,82.4,69.3,88,2.5,,no
MCSP_166,8/20/2021,T7_R5_IR_N_2b,56.6,88.5,55.5,69.5,95.5,64.6,39,1,,no
MCSP_167,8/20/2021,T7_R5_IR_F_2c,64.1,86.1,80.5,91,72.1,75.1,139,3,,no
MCSP_168,8/20/2021,T7_R5_IR_C_2d,69.4,86.9,54.6,69.2,69.5,72.1,107,3.5,,no
MCSP_169,8/20/2021,T7_R5_VR_C_7a,59.9,55.5,52.9,78.4,72.4,96.2,24,1,,yes
MCSP_170,8/20/2021,T7_R5_VR_N_7b,51.5,54.9,62.1,74.5,74.7,56.5,71,3.5,,yes
MCSP_171,8/20/2021,T7_R5_VR_F_7c,36.2,45.6,54.7,56.4,56.1,55.5,44,1.5,,no
